# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T18:31:51.168Z|352.01762  | +7.691    |   UCAC2|17.2 |   R
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T18:39:31.680Z|352.04692  | +7.69586  |   UCAC2|17   |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T18:46:19.488Z|352.16046  | +7.74614  | USNOSA2|16.2 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T18:46:48.000Z|352.16229  | +7.74636  | USNOSA2|17   |   R
2008 TC3   | K08T03C| CCD|595 |    |2008-10-06T18:48:50.688Z|352.01458  | +7.71847  |  USNOA2|17   |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T18:49:13.152Z|352.08392  | +7.70197  |   UCAC2|17.2 |   R
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T18:50:07.584Z|352.28746  | +7.85139  |   UCAC2|17   |   V
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T18:50:11.040Z|352.17621  | +7.74903  | USNOSA2|17   |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T18:52:21.504Z|352.18379  | +7.75072  | USNOSA2|17.9 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T18:54:48.384Z|352.19442  | +7.75239  | USNOSA2|17.1 |   R
2008 TC3   | K08T03C| CCD|595 |    |2008-10-06T18:55:04.800Z|352.03558  | +7.72253  |  USNOA2|17.3 |   V
2008 TC3   | K08T03C| CCD|595 |    |2008-10-06T19:01:19.776Z|352.05633  | +7.72633  |  USNOA2|17   |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T19:03:11.232Z|352.13696  | +7.71081  |   UCAC2|17.1 |   R
2008 TC3   | K08T03C| CCD|A77 |    |2008-10-06T19:05:55.392Z|352.23954  | +7.76108  | USNOSA2|17.1 |   R
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T19:07:36.480Z|352.36142  | +7.86994  |   UCAC2|16.5 |   V
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T19:13:45.408Z|352.38738  | +7.87661  |   UCAC2|16.4 |   V
2008 TC3   | K08T03C| CCD|620 |    |2008-10-06T19:18:01.152Z|352.40479  | +7.88125  |   UCAC2|16.7 |   V
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T19:19:04.224Z|352.19721  | +7.72083  |   UCAC2|16.9 |   R
2008 TC3   | K08T03C| CCD|J95 |    |2008-10-06T19:19:46.560Z|352.28021  | +7.57319  |   UCAC2|     |    
2008 TC3   | K08T03C| CCD|J95 |    |2008-10-06T19:20:38.400Z|352.28458  | +7.57344  |   UCAC2|     |    
2008 TC3   | K08T03C| CCD|J95 |    |2008-10-06T19:28:50.016Z|352.32637  | +7.57636  |   UCAC2|16.6 |   R
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T19:33:43.776Z|352.25296  | +7.72997  |   UCAC2|16.9 |   R
2008 TC3   | K08T03C| CCD|J95 |    |2008-10-06T19:34:55.488Z|352.35758  | +7.57836  |   UCAC2|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:36:57.312Z|352.27554  | +7.74103  |   NOMAD|16.8 |   R
2008 TC3   | K08T03C| CCD|J95 |    |2008-10-06T19:37:36.192Z|352.3715   | +7.57936  |   UCAC2|16.2 |   R
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:38:02.976Z|352.27975  | +7.74172  |   NOMAD|     |    
2008 TC3   | K08T03C| CCD|204 |    |2008-10-06T19:39:08.640Z|352.284    | +7.74244  |   NOMAD|     |    
