# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                      
2026 FQ12  | C464WC1| CMO|L99 |    |2026-03-27T19:31:58.200Z|179.28655  | -0.86125  |0.54  |0.68  |       |  Gaia3E|16.5 |0.36  |   G|  Gaia3E|21.6  |0.89  | 205|0.87  |K    |                             
2026 FQ12  | C464WC1| CMO|L99 |    |2026-03-27T19:35:23.200Z|179.29086  | -0.89389  |0.76  |0.78  |       |  Gaia3E|16.8 |0.58  |   G|  Gaia3E|21.6  |0.37  | 205|1.09  |K    |                             
2026 FQ12  | C464WC1| CMO|L99 |    |2026-03-27T19:38:48.200Z|179.29525  | -0.92587  |0.62  |0.62  |       |  Gaia3E|16.5 |0.22  |   G|  Gaia3E|21.6  |0.77  | 205|0.88  |K    |                             
2026 FQ12  | C464WC1| CCD|D66 |    |2026-03-27T20:02:04.992Z|179.37646  | -1.13214  |      |      |       |  ATLAS2|16.7 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|D66 |    |2026-03-27T20:04:32.736Z|179.37967  | -1.15497  |      |      |       |  ATLAS2|17.4 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|D66 |    |2026-03-27T20:07:00.480Z|179.38283  | -1.178    |      |      |       |  ATLAS2|17.7 |      |   V|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|958 |    |2026-03-27T20:35:53.146Z|179.44237  | -1.44069  |      |      |       |  Gaia3E|17.1 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|958 |    |2026-03-27T20:41:02.458Z|179.44908  | -1.488    |      |      |       |  Gaia3E|16.9 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|958 |    |2026-03-27T20:46:12.288Z|179.45562  | -1.53536  |      |      |       |  Gaia3E|17.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|203 |    |2026-03-27T20:52:41.900Z|179.440409 | -1.599859 |0.242 |0.273 |       |   Gaia3|17   |0.25  |   G|   Gaia3| 6.2  |1.39  | 390|0.24  |K    |                             
2026 FQ12  | C464WC1| CCD|203 |    |2026-03-27T21:00:48.900Z|179.450129 | -1.673719 |0.215 |0.256 |       |   Gaia3|17.1 |0.17  |   G|   Gaia3| 6.2  |1.52  | 390|0.22  |K    |                             
2026 FQ12  | C464WC1| CCD|203 |    |2026-03-27T21:08:56.300Z|179.459754 | -1.747453 |0.245 |0.238 |       |   Gaia3|17   |0.27  |   G|   Gaia3| 6.2  |1.36  | 390|0.18  |K    |                             
2026 FQ12  | C464WC1| CCD|C40 |  01|2026-03-27T21:11:58.848Z|179.38996  | -1.77419  |      |      |       |  Gaia3E|17.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  |        | CCD|C40 |  01|2026-03-27T21:13:01.056Z|179.391    | -1.78344  |      |      |       |  Gaia3E|18   |      |   G|        |      |      |    |      |     |                             
2026 FQ12  |        | CCD|C40 |  01|2026-03-27T21:15:02.880Z|179.39337  | -1.80178  |      |      |       |  Gaia3E|18.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|C40 |  01|2026-03-27T21:16:00.768Z|179.39429  | -1.8105   |      |      |       |  Gaia3E|18.6 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  |        | CCD|C40 |  01|2026-03-27T21:17:05.568Z|179.39538  | -1.82025  |      |      |       |  Gaia3E|16.8 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|I93 |    |2026-03-27T21:17:23.194Z|179.491    | -1.82069  |      |      |       |   Gaia2|17.4 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|I93 |    |2026-03-27T21:19:28.733Z|179.49354  | -1.83961  |      |      |       |   Gaia2|17   |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|C40 |  01|2026-03-27T21:19:57.504Z|179.39871  | -1.84594  |      |      |       |  Gaia3E|18.3 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|I93 |    |2026-03-27T21:21:34.013Z|179.49596  | -1.85828  |      |      |       |   Gaia2|17.3 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CMO|I93 |    |2026-03-27T21:23:44.909Z|179.49858  | -1.878    |      |      |       |   Gaia2|17   |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|587 |    |2026-03-27T21:44:15.072Z|179.49933  | -2.06492  |      |      |       |   Gaia2|     |      |    |        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|104 |    |2026-03-27T21:48:21.830Z|179.50158  | -2.09697  |      |      |       |   Gaia2|18.2 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|587 |    |2026-03-27T21:48:23.904Z|179.504    | -2.10172  |      |      |       |   Gaia2|17.7 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|587 |    |2026-03-27T21:52:32.736Z|179.50858  | -2.13842  |      |      |       |   Gaia2|     |      |    |        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|104 |    |2026-03-27T21:54:50.026Z|179.50854  | -2.15403  |      |      |       |   Gaia2|17.4 |      |   G|        |      |      |    |      |     |                             
2026 FQ12  | C464WC1| CCD|104 |    |2026-03-27T22:01:48.893Z|179.51617  | -2.21531  |      |      |       |   Gaia2|18.5 |      |   G|        |      |      |    |      |     |                             
