# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|logSNR| exp|rmsFit|remarks                                             
  84100|2002 RP8   |  4A90G2| CCD|699 |       |    |          |          |          |    |2002-10-09T07:09:18.432Z| 39.89137  | +6.63656  |     |      |       |  USNOA2|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   |  4A90G2| CCD|699 |       |    |          |          |          |    |2002-10-09T07:39:36.288Z| 39.88817  | +6.63444  |     |      |       |  USNOA2|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   |  4A90G2| CCD|699 |       |    |          |          |          |    |2002-10-09T08:09:53.280Z| 39.88475  | +6.63197  |     |      |       |  USNOA2|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | AC50867| CCD|704 |       |    |          |          |          |    |2002-10-11T07:34:38.208Z| 39.58888  | +6.42053  |     |      |       |  USNOA2|18.9 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC50867| CCD|704 |       |    |          |          |          |    |2002-10-11T07:56:18.528Z| 39.58629  | +6.41864  |     |      |       |  USNOA2|19   |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC50867| CCD|704 |       |    |          |          |          |    |2002-10-11T08:19:46.848Z| 39.58371  | +6.41708  |     |      |       |  USNOA2|18.6 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC50867| CCD|704 |       |    |          |          |          |    |2002-10-11T08:42:47.520Z| 39.58113  | +6.41531  |     |      |       |  USNOA2|18.5 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC50867| CCD|704 |       |    |          |          |          |    |2002-10-11T09:04:41.664Z| 39.57858  | +6.41353  |     |      |       |  USNOA2|18.3 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC72666| CCD|704 |       |    |          |          |          |    |2002-10-31T06:07:24.960Z| 35.78954  | +4.39336  |     |      |       |  USNOA2|17.6 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC72666| CCD|704 |       |    |          |          |          |    |2002-10-31T06:31:59.808Z| 35.78583  | +4.39186  |     |      |       |  USNOA2|17.6 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC72666| CCD|704 |       |    |          |          |          |    |2002-10-31T06:56:38.976Z| 35.78213  | +4.39042  |     |      |       |  USNOA2|17.9 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC72666| CCD|704 |       |    |          |          |          |    |2002-10-31T07:21:12.096Z| 35.7785   | +4.38889  |     |      |       |  USNOA2|17.9 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC72666| CCD|704 |       |    |          |          |          |    |2002-10-31T07:45:53.856Z| 35.77475  | +4.38742  |     |      |       |  USNOA2|18   |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   |  4B609A| CCD|699 |       |    |          |          |          |    |2002-11-06T04:33:29.088Z| 34.58808  | +3.92039  |     |      |       |  USNOA2|18.1 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   |  4B609A| CCD|699 |       |    |          |          |          |    |2002-11-06T05:03:31.392Z| 34.58362  | +3.91883  |     |      |       |  USNOA2|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   |  4B609A| CCD|699 |       |    |          |          |          |    |2002-11-06T05:33:26.784Z| 34.5795   | +3.91767  |     |      |       |  USNOA2|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   |  4B609A| CCD|699 |       |    |          |          |          |    |2002-11-06T06:03:24.768Z| 34.57504  | +3.91586  |     |      |       |  USNOA2|     |      |    |        |      |    |      |                                                    
  84100|2002 RP8   | AC97945| CCD|704 |       |    |          |          |          |    |2002-11-07T06:33:02.880Z| 34.37542  | +3.84464  |     |      |       |  USNOA2|17.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC97945| CCD|704 |       |    |          |          |          |    |2002-11-07T06:58:25.248Z| 34.37175  | +3.84336  |     |      |       |  USNOA2|17.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC97945| CCD|704 |       |    |          |          |          |    |2002-11-07T07:24:06.624Z| 34.36812  | +3.84222  |     |      |       |  USNOA2|18.1 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC97945| CCD|704 |       |    |          |          |          |    |2002-11-07T07:49:14.304Z| 34.36462  | +3.84094  |     |      |       |  USNOA2|18   |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AC97945| CCD|704 |       |    |          |          |          |    |2002-11-07T08:14:28.032Z| 34.361    | +3.83978  |     |      |       |  USNOA2|18   |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AD13646| CCD|704 |       |    |          |          |          |    |2002-11-11T05:43:59.232Z| 33.63154  | +3.59872  |     |      |       |  USNOA2|17.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AD13646| CCD|704 |       |    |          |          |          |    |2002-11-11T06:08:35.808Z| 33.62821  | +3.59786  |     |      |       |  USNOA2|17.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AD13646| CCD|704 |       |    |          |          |          |    |2002-11-11T06:33:37.440Z| 33.625    | +3.59694  |     |      |       |  USNOA2|18.1 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AD13646| CCD|704 |       |    |          |          |          |    |2002-11-11T06:58:29.568Z| 33.62179  | +3.59603  |     |      |       |  USNOA2|18.2 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AD13646| CCD|704 |       |    |          |          |          |    |2002-11-11T07:23:26.016Z| 33.61854  | +3.59511  |     |      |       |  USNOA2|18.3 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   |  TU9558| CCD|683 |       |    |          |          |          |    |2002-11-13T05:06:59.616Z| 33.28396  | +3.49461  |     |      |       |  GSCACT|19.3 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   |  TU9558| CCD|683 |       |    |          |          |          |    |2002-11-13T05:20:17.088Z| 33.28187  | +3.49425  |     |      |       |  GSCACT|19.2 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   |  TU9558| CCD|683 |       |    |          |          |          |    |2002-11-13T05:42:23.328Z| 33.27962  | +3.49336  |     |      |       |  GSCACT|19.9 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   | TJ28YXC| CCD|644 |       |    |          |          |          |    |2002-12-08T06:37:56.640Z| 30.77958  | +3.37011  |     |      |       |  USNOA2|19.4 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   | TJ28YXC| CCD|644 |       |    |          |          |          |    |2002-12-08T07:09:13.248Z| 30.779    | +3.37097  |     |      |       |  USNOA2|19.1 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   | TJ28YXC| CCD|644 |       |    |          |          |          |    |2002-12-08T07:39:42.336Z| 30.77867  | +3.37175  |     |      |       |  USNOA2|18.7 |      |   R|        |      |    |      |                                                    
  84100|2002 RP8   | AL28521| CCD|704 |       |    |          |          |          |    |2004-01-24T08:10:14.880Z|148.17204  |+10.87119  |     |      |       |  USNOA2|19.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL28521| CCD|704 |       |    |          |          |          |    |2004-01-24T08:28:26.976Z|148.16971  |+10.87219  |     |      |       |  USNOA2|20.2 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL28521| CCD|704 |       |    |          |          |          |    |2004-01-24T08:46:35.616Z|148.16737  |+10.87294  |     |      |       |  USNOA2|19.7 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL28521| CCD|704 |       |    |          |          |          |    |2004-01-24T09:04:33.888Z|148.16525  |+10.87422  |     |      |       |  USNOA2|19.7 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL28521| CCD|704 |       |    |          |          |          |    |2004-01-24T09:22:33.024Z|148.16288  |+10.87561  |     |      |       |  USNOA2|20   |      |   V|        |      |    |      |                                                    
  84100|           |  E1CG0k| CCD|691 |       |    |          |          |          |    |2004-02-13T04:57:19.008Z|144.126    |+12.71814  |     |      |       |  USNOA2|20.1 |      |   V|        |      |    |      |                                                    
  84100|           |  E1CG0k| CCD|691 |       |    |          |          |          |    |2004-02-13T05:37:19.200Z|144.11992  |+12.72078  |     |      |       |  USNOA2|20   |      |   V|        |      |    |      |                                                    
  84100|           |  E1CG0k| CCD|691 |       |    |          |          |          |    |2004-02-13T06:17:07.296Z|144.11383  |+12.72358  |     |      |       |  USNOA2|19.8 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL75662| CCD|704 |       |    |          |          |          |    |2004-02-17T06:48:39.456Z|143.25771  |+13.11081  |     |      |       |  USNOA2|20.4 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL75662| CCD|704 |       |    |          |          |          |    |2004-02-17T07:05:43.296Z|143.255    |+13.11206  |     |      |       |  USNOA2|20.4 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL75662| CCD|704 |       |    |          |          |          |    |2004-02-17T07:23:00.960Z|143.25263  |+13.11319  |     |      |       |  USNOA2|20.4 |      |   V|        |      |    |      |                                                    
  84100|2002 RP8   | AL75662| CCD|704 |       |    |          |          |          |    |2004-02-17T07:40:00.480Z|143.24975  |+13.11411  |     |      |       |  USNOA2|20.2 |      |   V|        |      |    |      |                                                    
