# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band|notes
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:03:52.502Z|217.26804  |+51.12447  |  USNOB1|19.9 |   R|     
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:04:38.813Z|217.26721  |+51.12536  |  USNOB1|19.5 |   R|     
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:05:33.763Z|217.26625  |+51.12653  |  USNOB1|19.6 |   R|     
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:06:20.419Z|217.26542  |+51.12747  |  USNOB1|19.6 |   R|     
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:07:05.866Z|217.26462  |+51.12839  |  USNOB1|19.8 |   R|     
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:08:01.334Z|217.26362  |+51.12947  |  USNOB1|19.5 |   R|     
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:08:46.954Z|217.26275  |+51.13044  |  USNOB1|19.8 |   R|     
 367943|2012 DA14  | K12D14A| CCD|F65 |  0E|2012-02-27T15:09:31.968Z|217.262    |+51.13136  |  USNOB1|19.5 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-02-28T06:36:13.824Z|216.69604  |+52.20692  |   UCAC3|20.3 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-02-28T06:41:11.904Z|216.69167  |+52.21308  |   UCAC3|20.4 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-02-28T06:46:25.536Z|216.68721  |+52.21961  |   UCAC3|20.1 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-02-28T10:59:04.416Z|216.46683  |+52.51803  |   NOMAD|19.6 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-02-28T11:14:31.488Z|216.45112  |+52.53492  |   NOMAD|19.7 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-02-28T11:30:43.488Z|216.43537  |+52.55239  |   NOMAD|19.7 |   R|K    
 367943|           |   a7943| CCD|568 |  02|2012-02-28T13:01:33.341Z|216.412208 |+52.6609   |   PPMXL|20   |   R|     
 367943|           |   a7943| CCD|568 |  02|2012-02-28T13:03:19.699Z|216.410408 |+52.662925 |   PPMXL|20.1 |   R|     
 367943|           |   a7943| CCD|568 |  02|2012-02-28T13:05:06.317Z|216.408588 |+52.66495  |   PPMXL|20   |   R|     
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-02-29T01:50:28.867Z|215.91246  |+53.44689  |  USNOB1|20   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T01:51:46.368Z|215.91071  |+53.44814  |   UCAC3|19.2 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-02-29T01:57:05.270Z|215.90621  |+53.45394  |  USNOB1|20   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T02:02:03.264Z|215.90121  |+53.45919  |   UCAC3|19.5 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-02-29T02:02:59.942Z|215.90079  |+53.46036  |  USNOB1|19.9 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T02:12:19.296Z|215.89175  |+53.47036  |   UCAC3|19.1 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T02:19:33.888Z|215.88546  |+53.47814  |  USNOA2|20.2 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T02:21:42.624Z|215.88346  |+53.48031  |  USNOA2|20.3 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T02:23:51.360Z|215.88133  |+53.48267  |  USNOA2|20   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T02:26:00.096Z|215.87929  |+53.48483  |  USNOA2|20.2 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|I89 |    |2012-02-29T02:28:08.832Z|215.87721  |+53.48714  |  USNOA2|20   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|950 |  0N|2012-02-29T05:55:07.104Z|215.69663  |+53.70211  |   NOMAD|19.2 |   R|     
 367943|2012 DA14  | K12D14A| CCD|950 |  0N|2012-02-29T05:56:04.128Z|215.69567  |+53.70297  |   NOMAD|19.1 |   R|     
 367943|2012 DA14  | K12D14A| CCD|950 |  0N|2012-02-29T05:57:00.288Z|215.69467  |+53.70389  |   NOMAD|19.1 |   R|     
 367943|2012 DA14  | K12D14A| CCD|950 |  0N|2012-02-29T05:57:57.312Z|215.69379  |+53.70478  |   NOMAD|19.1 |   R|     
 367943|2012 DA14  | K12D14A| CCD|950 |  0N|2012-02-29T05:58:52.608Z|215.69292  |+53.70561  |   NOMAD|19.2 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-02-29T11:29:18.816Z|215.48438  |+54.021    |   NOMAD|19.8 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-02-29T11:49:47.424Z|215.46487  |+54.03989  |   NOMAD|19.6 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-02-29T12:10:09.120Z|215.44525  |+54.05808  |   NOMAD|19.8 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-02-29T12:36:33.696Z|215.42729  |+54.08383  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-02-29T12:37:51.456Z|215.42621  |+54.08486  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|291 |    |2012-02-29T12:39:07.488Z|215.425    |+54.08606  |  USNOB1|     |    |H    
 367943|2012 DA14  | K12D14A| CCD|A24 |    |2012-02-29T23:00:52.416Z|215.10375  |+54.63     |  USNOA2|20.1 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|A24 |    |2012-02-29T23:07:27.264Z|215.09883  |+54.63653  |  USNOA2|20.1 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|A24 |    |2012-02-29T23:13:48.288Z|215.09425  |+54.64289  |  USNOA2|20   |   R|K    
 367943|2012 DA14  | K12D14A| CCD|A24 |    |2012-02-29T23:20:43.008Z|215.08871  |+54.64961  |  USNOA2|20.1 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-03-01T01:57:53.309Z|214.97096  |+54.80281  |  USNOB1|20.1 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-03-01T02:08:47.443Z|214.96108  |+54.81292  |  USNOB1|20.2 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-03-01T02:19:42.528Z|214.95121  |+54.82294  |  USNOB1|20   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-01T09:39:13.882Z|214.65308  |+55.19839  |   UCAC3|20.2 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-01T09:54:02.678Z|214.63979  |+55.21089  |   UCAC3|20.3 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-01T10:09:00.288Z|214.62638  |+55.22314  |   UCAC3|19.7 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-01T11:11:38.688Z|214.57937  |+55.27944  |   NOMAD|19.8 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-01T11:29:59.424Z|214.56225  |+55.29403  |   NOMAD|19.8 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-01T11:48:14.112Z|214.54542  |+55.30867  |   NOMAD|20.1 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|204 |    |2012-03-02T03:41:15.360Z|213.96179  |+56.04761  |   PPMXL|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|204 |    |2012-03-02T04:03:23.328Z|213.94254  |+56.06364  |   PPMXL|     |    |K    
 367943|2012 DA14  | K12D14A| CCD|204 |    |2012-03-02T04:25:29.568Z|213.92383  |+56.07936  |   PPMXL|20   |   R|K    
 367943|2012 DA14  | K12D14A| CCD|B04 |    |2012-03-02T22:45:06.336Z|213.32475  |+56.84778  |   UCAC3|19.9 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|B04 |    |2012-03-02T22:51:57.600Z|213.31979  |+56.85306  |   UCAC3|19.9 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|B04 |    |2012-03-02T22:59:26.880Z|213.31438  |+56.85878  |   UCAC3|19.7 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-03T11:36:09.216Z|212.794    |+57.37161  |   NOMAD|19.9 |   R|I    
 367943|2012 DA14  | K12D14A| CCD|H15 |    |2012-03-03T12:05:45.600Z|212.76837  |+57.38872  |   NOMAD|20.1 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-03-04T03:25:09.581Z|212.25625  |+57.94028  |  USNOB1|21   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-03-04T04:29:31.402Z|212.20171  |+57.97639  |  USNOB1|20.1 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|J75 |    |2012-03-04T04:48:09.590Z|212.18642  |+57.98647  |  USNOB1|20   |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-04T08:27:34.013Z|212.08996  |+58.11072  |  USNOB1|20.5 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-04T08:36:59.242Z|212.08204  |+58.11614  |  USNOB1|20.6 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-04T08:46:05.981Z|212.07442  |+58.12139  |  USNOB1|20.4 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H21 |    |2012-03-04T08:54:50.774Z|212.06717  |+58.12633  |  USNOB1|20.3 |   V|K    
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-05T05:45:30.816Z|211.40317  |+58.77456  |  USNOB1|20   |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-05T05:56:22.272Z|211.39571  |+58.78119  |  USNOB1|20.2 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-05T06:08:54.816Z|211.38712  |+58.78883  |  USNOB1|20.4 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H01 |    |2012-03-05T06:17:48.768Z|211.38096  |+58.79425  |  USNOB1|20.4 |   R|     
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-05T10:17:55.104Z|211.17925  |+58.92325  |   UCAC3|19.7 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-05T10:26:30.048Z|211.17304  |+58.92731  |   UCAC3|20.3 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-05T10:35:03.264Z|211.16642  |+58.93125  |   UCAC3|19.8 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-05T10:43:37.344Z|211.15946  |+58.93519  |   UCAC3|19.8 |   R|K    
 367943|2012 DA14  | K12D14A| CCD|H36 |    |2012-03-05T10:52:11.424Z|211.15246  |+58.93911  |   UCAC3|19.7 |   R|K    
