# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1       |pos2       |pos3       |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
     2P|        | UNK|485 |       |    |           |           |           |    |1977-09-11T07:31:06.528Z|198.70387  |-15.03978  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-09-11T10:59:59.712Z|198.95596  |-15.15589  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|809 |       |    |           |           |           |    |1977-09-12T00:01:22.944Z|199.90092  |-15.58947  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-09-13T11:12:59.904Z|202.43725  |-16.71819  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-09-18T11:30:59.904Z|210.88946  |-20.13567  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1977-10-04T12:18:00.000Z|234.98283  |-26.85008  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|485 |       |    |           |           |           |    |1977-10-09T08:02:42.144Z|241.22996  |-27.86806  |      |      |       |     UNK|15.3  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|485 |       |    |           |           |           |    |1977-10-09T08:38:00.672Z|241.26096  |-27.87217  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|809 |       |    |           |           |           |    |1977-10-10T00:36:53.568Z|242.08442  |-27.98614  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|485 |       |    |           |           |           |    |1977-10-14T08:24:43.200Z|247.23646  |-28.58019  |      |      |       |     UNK|15.4  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1978-07-31T04:40:08.256Z|338.07658  |-11.28931  |      |      |       |      AC|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1978-09-02T05:09:33.408Z|329.05854  |-14.09569  |      |      |       |      AC|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1979-08-31T06:21:57.600Z|349.99904  | -0.538    |      |      |       |      AC|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1979-09-17T04:46:09.408Z|345.76558  | -2.05336  |      |      |       |      AC|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1979-09-24T06:06:01.152Z|344.02583  | -2.70261  |      |      |       |      AC|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|675 |       |    |           |           |           |    |1980-08-08T11:08:59.712Z| 40.6737   |+25.3592   |      |      |       |     UNK|20    |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1980-08-13T06:45:35.424Z| 42.3355   |+26.393    |      |      |       |      AC|19.5  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1980-09-09T07:41:55.392Z| 52.82746  |+33.78981  |      |      |       |      AC|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|372 |       |    |           |           |           |    |1980-09-12T19:02:00.384Z| 54.4742   |+35.0769   |      |      |       |     UNK|16    |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|372 |       |    |           |           |           |    |1980-10-04T18:24:45.216Z| 71.371    |+47.455    |      |      |       |     UNK|14    |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|993 |       |    |           |           |           |    |1980-10-04T23:26:00.960Z| 71.65758  |+47.62106  |      |      |       |     UNK|13.5  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1980-10-08T08:42:51.840Z| 77.00846  |+50.60853  |      |      |       |      AC|16.5  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|372 |       |    |           |           |           |    |1980-10-08T17:11:30.048Z| 77.675    |+50.945    |      |      |       |     UNK|10.5  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|022 |       |    |           |           |           |    |1980-10-13T00:03:04.032Z| 87.85229  |+55.19133  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|022 |       |    |           |           |           |    |1980-10-13T00:25:00.768Z| 87.90188  |+55.20553  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|022 |       |    |           |           |           |    |1980-10-20T00:35:53.088Z|119.49271  |+60.74578  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|022 |       |    |           |           |           |    |1980-10-20T01:05:18.240Z|119.62387  |+60.7515   |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|547 |       |    |           |           |           |    |1980-10-20T02:25:14.304Z|119.97354  |+60.76869  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|547 |       |    |           |           |           |    |1980-10-20T02:52:09.120Z|120.08788  |+60.77011  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|372 |       |    |           |           |           |    |1980-10-21T18:47:59.712Z|131.129    |+60.703    |      |      |       |     UNK| 9    |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|801 |       |    |           |           |           |    |1980-11-03T10:18:01.152Z|194.64725  |+31.759    |      |      |       |      AC|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|688 |       |    |           |           |           |    |1980-11-04T11:36:29.952Z|197.10446  |+28.62892  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|688 |       |    |           |           |           |    |1980-11-04T12:04:30.432Z|197.14817  |+28.57133  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|688 |       |    |           |           |           |    |1980-11-04T12:13:30.432Z|197.16075  |+28.55492  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|882 |       |    |           |           |           |    |1980-11-18T20:16:40.224Z|215.44454  | -1.05764  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|882 |       |    |           |           |           |    |1980-11-18T20:18:29.952Z|215.44567  | -1.05964  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|006 |       |    |           |           |           |    |1980-11-20T05:19:57.216Z|216.56246  | -2.90194  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|006 |       |    |           |           |           |    |1980-11-20T05:30:10.656Z|216.56796  | -2.91047  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|675 |       |    |           |           |           |    |1982-07-30T10:21:06.048Z|350.59958  | -2.41542  |      |      |       |     UNK|20.5  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|372 |       |    |           |           |           |    |1984-01-27T10:12:59.616Z|353.8715   | +5.91606  |      |      |       |     UNK|17    |      |   B|        |      |      |    |      |     |                                                   
