# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |band|notes
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399|  15.5678 |4980.9204 |-4789.7544|    |2010-10-01T11:48:49.536Z| 93.19779  |-44.91564  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399|   4.5872 |5001.4179 |-4768.2537|    |2010-10-01T13:23:59.712Z| 93.24933  |-44.93128  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399|  19.4964 |4944.3602 |-4827.4052|    |2010-10-01T13:24:10.944Z| 93.24979  |-44.93078  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   | K10T07K| CCD|C51 |ICRF_KM| 399|   8.7657 |4964.696  |-4806.5494|    |2010-10-01T14:59:20.5Z  | 93.30252  |-44.94666  |0.574|0.639 |-0.001 |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399|   2.3222 |4946.8917 |-4824.873 |    |2010-10-01T18:09:51.840Z| 93.40687  |-44.9785   |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399| -15.532  |4949.4536 |-4822.233 |    |2010-10-01T22:55:32.736Z| 93.56425  |-45.02522  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399| -26.8371 |4970.0314 |-4801.284 |    |2010-10-02T00:30:42.912Z| 93.6165   |-45.04122  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399| -33.5009 |4953.561  |-4818.2672|    |2010-10-02T03:41:13.632Z| 93.72163  |-45.07192  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399| -44.4437 |4973.3833 |-4797.6167|    |2010-10-02T05:16:23.808Z| 93.77379  |-45.08758  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   |        | CCD|C51 |ICRF_KM| 399| -69.0405 |4958.9475 |-4811.8878|    |2010-10-02T13:12:36.288Z| 94.03717  |-45.16594  |     |      |       |   2MASS|     |    |     
 706765|2010 TK7   | K10T07K| CCD|C51 |ICRF_KM| 399| -64.19   |4921.9974 |-4849.8268|    |2010-10-02T14:47:57.0Z  | 94.08914  |-45.18099  |0.571|0.669 | 0.031 |   2MASS|     |    |     
 706765|2010 TK7   | K10T07K| CCD|C51 |ICRF_KM| 399| -86.2724 |4961.1452 |-4809.372 |    |2010-10-02T17:58:17.0Z  | 94.19499  |-45.21245  |0.428|0.493 | 0.043 |   2MASS|     |    |     
 706765|2010 TK7   | K10T07K| CCD|C51 |ICRF_KM| 399| -99.4669 |4926.4702 |-4844.9783|    |2010-10-03T00:19:19.2Z  | 94.40536  |-45.27383  |0.655|0.75  |-0.012 |   2MASS|     |    |     
 706765|2010 TK7   | K10T07K| CCD|C51 |ICRF_KM| 399|-116.9605 |4929.5316 |-4841.4569|    |2010-10-03T05:05:00.3Z  | 94.56374  |-45.32015  |0.506|0.637 |-0.038 |   2MASS|     |    |     
 706765|2010 TK7   | K10T07K| CCD|C51 |ICRF_KM| 399|-128.208  |4949.079  |-4821.014 |    |2010-10-03T06:40:10.3Z  | 94.6164   |-45.33552  |0.547|0.619 |-0.066 |   2MASS|     |    |     
 706765|2010 TK7   | K10T07K| CCD|C51 |ICRF_KM| 399|-139.5182 |4968.1759 |-4800.8507|    |2010-10-03T08:15:20.3Z  | 94.66882  |-45.35086  |0.575|0.634 | 0.045 |   2MASS|     |    |     
