# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA   |rmsDec  |rmsCorr|  astCat|mag  |rmsMag  |band| photCat|photAp|logSNR| exp|rmsFit|notes
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-03T03:43:12.000Z| 76.28592  |+15.89886  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-04T04:28:49.152Z| 76.35342  |+15.88756  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-04T04:35:47.328Z| 76.35354  |+15.88753  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-04T04:41:51.936Z| 76.354    |+15.88758  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-04T04:47:50.496Z| 76.35412  |+15.88753  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-05T04:09:25.344Z| 76.41154  |+15.87656  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-05T04:16:33.888Z| 76.41171  |+15.87631  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-05T04:23:42.432Z| 76.41196  |+15.87633  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-05T04:30:51.840Z| 76.41212  |+15.87644  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|089 |       |    |          |          |          |    |1972-10-06T02:00:15.178Z| 76.458692 |+15.865972 |        |        |       |  GSCACT|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-06T04:22:56.640Z| 76.46354  |+15.86464  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-06T04:27:56.448Z| 76.4635   |+15.86456  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-06T04:32:55.392Z| 76.46379  |+15.86447  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-06T04:37:54.336Z| 76.46388  |+15.86442  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-07T00:54:33.696Z| 76.50254  |+15.85153  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-07T00:59:33.504Z| 76.50267  |+15.85139  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-07T01:05:32.064Z| 76.50288  |+15.85122  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-07T01:10:28.416Z| 76.50312  |+15.85108  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|089 |       |    |          |          |          |    |1972-10-08T01:45:45.475Z| 76.541562 |+15.841553 |        |        |       |  GSCACT|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-09T00:32:10.176Z| 76.57179  |+15.82931  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-10-09T00:38:08.736Z| 76.57204  |+15.82908  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
