# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                                                                                            
 614689|2020 XL5   | P11aRcq| CCD|807 |  0W|2020-12-14T07:49:07.392Z|178.18625  |-13.28197  |     |      |       |   UCAC3|21.7  |      |   V|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | P11aRcq| CCD|807 |  0W|2020-12-14T08:00:56.736Z|178.19646  |-13.28472  |     |      |       |   UCAC3|21.6  |      |   V|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | P11aRcq| CCD|807 |  0W|2020-12-14T08:12:46.944Z|178.20675  |-13.28758  |     |      |       |   UCAC3|21.7  |      |   V|        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I52 |    |2020-12-20T11:29:20.976Z|186.343667 |-15.341944 |0.517|0.545 | 0     |   Gaia2|22.27 |0.609 |   G|   Gaia2|      |0.398 |    |0.119 |KmH  |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I52 |    |2020-12-20T11:56:48.970Z|186.370208 |-15.348333 |0.236|0.259 | 0     |   Gaia2|21.29 |0.536 |   G|   Gaia2|      |0.539 |    |0.126 |KmH  |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I52 |    |2020-12-20T12:24:06.941Z|186.3965   |-15.354417 |0.284|0.308 | 0     |   Gaia2|21.75 |0.566 |   G|   Gaia2|      |0.537 |    |0.117 |KmH  |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I52 |    |2020-12-20T12:37:35.645Z|186.4095   |-15.357194 |0.176|0.2   | 0     |   Gaia2|21.01 |0.534 |   G|   Gaia2|      |0.635 |    |0.113 |KmH  |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-01-08T15:52:18.41Z |218.456436 |-19.988677 |0.075|0.075 |       |   Gaia2|21.7  |0.3   |   G|   Gaia2| 1.1  |0.55  |  60|0.077 |     |S: 0.0115 0.0057 O: 0.0746 0.0746                                                                                  
 614689|2020 XL5   | K20X05L| CCD|T12 |    |2021-01-08T15:59:36.12Z |218.465936 |-19.98926  |0.071|0.07  |       |   Gaia2|21.55 |0.13  |   G|   Gaia2| 1.1  |0.91  | 270|0.057 |K    |S: 0.0082 0.0056 O: 0.0702 0.0702   From a stack of three 90 sec exposures.  Time corresponds to the last exposure.
 614689|2020 XL5   | K20X05L| CCD|J04 |  02|2021-02-09T06:09:23.846Z|276.48208  |-15.90586  |     |      |       |   Gaia2|      |      |    |        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|J04 |  02|2021-02-09T06:25:05.434Z|276.49921  |-15.90317  |     |      |       |   Gaia2|      |      |    |        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|J04 |  02|2021-02-09T06:41:29.184Z|276.51704  |-15.9      |     |      |       |   Gaia2|      |      |    |        |      |      |    |      |     |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|G37 |  05|2021-02-22T12:47:57.898Z|296.1072   |-12.473333 |     |      |       |   Gaia2|21.2  |      |   G|        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|G37 |  05|2021-02-22T12:52:45.264Z|296.11175  |-12.472492 |     |      |       |   Gaia2|21.2  |      |   G|        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I33 |    |2021-03-09T09:33:01.325Z|315.892646 | -8.794608 |     |      |       |   Gaia2|21.8  |      |   G|        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I33 |    |2021-03-09T09:36:19.267Z|315.895583 | -8.794011 |     |      |       |   Gaia2|21.8  |      |   G|        |      |      |    |      |K    |                                                                                                                   
 614689|2020 XL5   | K20X05L| CCD|I33 |    |2021-03-09T09:40:24.643Z|315.899121 | -8.793319 |     |      |       |   Gaia2|21.2  |      |   G|        |      |      |    |      |K    |                                                                                                                   
