# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag  |rmsMag|band|logSNR| exp|notes
  20000|2000 WR106 | K00WA6R| CCD|557 |    |2000-12-31T23:56:57.696Z|100.76867  |+23.88289  |     |      | USNOSA2|     |      |    |      |    |     
  20000|2000 WR106 | K00WA6R| CCD|557 |    |2001-01-01T02:17:14.784Z|100.76679  |+23.88317  |     |      | USNOSA2|19.8 |      |   V|      |    |     
  20000|           |   20000| CCD|493 |    |2001-01-17T20:05:38.400Z|100.40325  |+23.92428  |     |      | USNOSA2|     |      |    |      |    |     
  20000|           |   20000| CCD|735 |    |2001-01-25T04:28:13.728Z|100.25375  |+23.94072  |     |      |  USNOA2|     |      |    |      |    |t    
  20000|           |   20000| CCD|735 |    |2001-01-25T06:30:49.824Z|100.25258  |+23.94086  |     |      |  USNOA2|19.6 |      |   R|      |    |     
  20000|           |        | CCD|809 |  05|2001-01-31T02:41:27.168Z|100.14183  |+23.95333  |     |      |     UNK|19.5 |      |   R|      |    |     
  20000|           |        | CCD|809 |  05|2001-01-31T03:12:29.952Z|100.14142  |+23.95339  |     |      |     UNK|19.6 |      |   R|      |    |     
  20000|           |        | CCD|809 |  05|2001-01-31T04:10:13.728Z|100.14067  |+23.95344  |     |      |     UNK|20   |      |   R|      |    |     
  20000|           |   20000| CCD|621 |    |2001-11-09T23:57:40.032Z|103.12262  |+24.02467  |     |      |  USNOA2|     |      |    |      |    |     
  20000|           |   20000| CCD|621 |    |2001-11-10T00:14:03.264Z|103.12254  |+24.02469  |     |      |  USNOA2|     |      |    |      |    |     
  20000|           |   20000| CCD|621 |    |2001-11-10T00:35:53.088Z|103.1225   |+24.02467  |     |      |  USNOA2|     |      |    |      |    |     
  20000|           |   20000| CCD|621 |    |2001-11-15T00:06:59.040Z|103.06113  |+24.03644  |     |      |  USNOA2|19   |      |   R|      |    |     
  20000|           |   20000| CCD|621 |    |2001-11-15T00:28:54.048Z|103.06096  |+24.03644  |     |      |  USNOA2|19.2 |      |   R|      |    |     
  20000|           |   20000| CCD|621 |    |2001-11-15T00:50:49.920Z|103.06079  |+24.03647  |     |      |  USNOA2|19.2 |      |   R|      |    |     
  20000|           |   20000| CCD|621 |    |2001-12-09T01:21:06.912Z|102.65812  |+24.101    |     |      |  USNOA2|19.1 |      |   R|      |    |     
  20000|           |   20000| CCD|621 |    |2001-12-09T01:37:33.600Z|102.65788  |+24.10122  |     |      |  USNOA2|19.4 |      |   R|      |    |     
  20000|           |   20000| CCD|621 |    |2001-12-10T01:19:16.320Z|102.63813  |+24.10386  |     |      |  USNOA2|19.2 |      |   R|      |    |     
  20000|           |   20000| CCD|621 |    |2001-12-10T01:35:43.008Z|102.63787  |+24.10378  |     |      |  USNOA2|     |      |    |      |    |     
  20000|           |   20000| CCD|644 |    |2002-01-18T03:39:42.048Z|101.79417  |+24.211    |     |      |  USNOB1|19.6 |      |   R|      |    |     
  20000|           |   20000| CCD|644 |    |2002-01-18T04:09:39.168Z|101.79375  |+24.21103  |     |      |  USNOB1|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|644 |    |2002-01-18T04:39:52.704Z|101.79333  |+24.21122  |     |      |  USNOB1|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|204 |    |2002-02-02T19:42:31.680Z|101.48629  |+24.24681  |     |      |  USNOA2|     |      |    |      |    |     
  20000|           |   20000| CCD|204 |    |2002-02-02T22:30:52.704Z|101.48429  |+24.247    |     |      |  USNOA2|19.8 |      |   R|      |    |     
  20000|           |   20000| CCD|644 |    |2002-02-05T02:37:14.016Z|101.44617  |+24.25153  |     |      |  USNOB1|19.3 |      |   R|      |    |K    
  20000|           |   20000| CCD|644 |    |2002-02-05T03:24:20.160Z|101.44542  |+24.25158  |     |      |  USNOB1|19.9 |      |   R|      |    |     
  20000|           |   20000| CCD|204 |    |2002-03-10T23:16:31.584Z|101.049    |+24.30169  |     |      |  USNOA2|     |      |    |      |    |     
  20000|           |   20000| CCD|204 |    |2002-03-10T23:27:45.504Z|101.04875  |+24.30169  |     |      |  USNOA2|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|213 |    |2002-12-06T23:43:14.304Z|104.09658  |+24.35908  |     |      |  USNOA2|19.1 |      |   R|      |    |     
  20000|           |   20000| CCD|213 |    |2002-12-06T23:49:39.648Z|104.09621  |+24.35933  |     |      |  USNOA2|19   |      |   R|      |    |     
  20000|           |   20000| CCD|213 |    |2002-12-07T03:13:03.648Z|104.09367  |+24.36031  |     |      |  USNOA2|18.8 |      |   R|      |    |     
  20000|           |   20000| CCD|941 |    |2002-12-14T23:14:02.976Z|103.93871  |+24.38392  |     |      |     UNK|19.8 |      |   R|      |    |     
  20000|           |   20000| CCD|941 |    |2002-12-14T23:24:19.872Z|103.93817  |+24.38397  |     |      |     UNK|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|941 |    |2002-12-14T23:34:36.768Z|103.937    |+24.38403  |     |      |     UNK|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|213 |    |2003-03-09T23:04:28.416Z|102.43242  |+24.57694  |     |      |  USNOA2|19.6 |      |   R|      |    |     
  20000|           |   20000| CCD|204 |    |2003-03-24T22:17:11.904Z|102.38479  |+24.5865   |     |      |  USNOA2|19.5 |      |   R|      |    |     
  20000|           |   20000| CCD|620 |    |2003-12-13T02:26:53.664Z|105.37704  |+24.63014  |     |      |   UCAC2|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|620 |    |2003-12-13T03:14:53.376Z|105.37608  |+24.63036  |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|213 |    |2004-01-10T23:57:02.880Z|104.75387  |+24.72244  |     |      |  USNOA2|19.6 |      |   R|      |    |     
  20000|           |   20000| CCD|204 |    |2004-01-11T02:05:43.584Z|104.75163  |+24.72275  |     |      |  USNOA2|19.1 |      |   R|      |    |     
  20000|           |   20000| CCD|691 |    |2004-01-27T02:34:16.032Z|104.41167  |+24.76722  |     |      |  USNOA2|20.3 |      |   V|      |    |     
  20000|           |   20000| CCD|691 |    |2004-01-27T03:14:05.856Z|104.41108  |+24.76731  |     |      |  USNOA2|20.7 |      |   V|      |    |     
  20000|           |   20000| CCD|691 |    |2004-01-27T03:55:11.712Z|104.41046  |+24.76733  |     |      |  USNOA2|20.5 |      |   V|      |    |     
  20000|           |  L00128| CCD|201 |    |2004-02-15T20:58:57.792Z|104.06004  |+24.81042  |     |      |  USNOA2|20.4 |      |   V|      |    |     
  20000|           |  L00128| CCD|201 |    |2004-02-15T22:44:55.104Z|104.05871  |+24.81053  |     |      |  USNOA2|20.6 |      |   V|      |    |     
  20000|           |  L00128| CCD|201 |    |2004-02-16T21:43:05.088Z|104.04454  |+24.81219  |     |      |  USNOA2|21.1 |      |   V|      |    |     
  20000|           |  L00128| CCD|201 |    |2004-02-16T22:23:26.880Z|104.04413  |+24.81233  |     |      |  USNOA2|21   |      |   V|      |    |     
  20000|           |   20000| CCD|204 |    |2004-12-14T03:43:36.192Z|106.737    |+24.87578  |     |      |  USNOB1|     |      |    |      |    |     
  20000|           |   20000| CCD|204 |    |2004-12-14T04:24:09.216Z|106.73633  |+24.87597  |     |      |  USNOB1|19.1 |      |   R|      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T08:51:25.056Z|106.692204 |+24.883522 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T08:57:02.016Z|106.692129 |+24.8835   |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T09:02:38.976Z|106.692042 |+24.883531 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T09:08:16.800Z|106.691967 |+24.883567 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T09:19:31.584Z|106.691817 |+24.883561 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T09:26:57.408Z|106.691704 |+24.8836   |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T09:34:25.824Z|106.691604 |+24.883622 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T09:41:54.240Z|106.6915   |+24.883633 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T09:49:20.928Z|106.691379 |+24.883672 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T10:04:17.760Z|106.691162 |+24.883692 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2004-12-16T10:13:46.272Z|106.691017 |+24.883689 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|A30 |    |2005-01-03T21:04:32.160Z|106.29354  |+24.94725  |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|A30 |    |2005-01-03T21:36:55.296Z|106.29304  |+24.94728  |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|A30 |    |2005-01-03T22:44:12.768Z|106.29192  |+24.9475   |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|J86 |    |2005-01-31T20:32:16.800Z|105.69971  |+25.02964  |     |      |  USNOB1|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-01-31T21:01:03.936Z|105.69929  |+25.02967  |     |      |  USNOB1|19.58|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-01-31T21:44:08.160Z|105.69871  |+25.02975  |     |      |  USNOB1|19.33|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-01-31T22:20:06.432Z|105.69821  |+25.02981  |     |      |  USNOB1|19.25|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-01-31T22:48:51.840Z|105.69783  |+25.02986  |     |      |  USNOB1|19.49|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-01-31T23:24:50.976Z|105.69733  |+25.02992  |     |      |  USNOB1|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-02-01T23:17:17.376Z|105.67833  |+25.03236  |     |      |  USNOB1|19.27|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-02-01T23:44:23.424Z|105.678    |+25.03239  |     |      |  USNOB1|19.38|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-02-10T22:17:17.088Z|105.51792  |+25.05256  |     |      |  USNOB1|19.78|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-02-10T22:51:05.760Z|105.51771  |+25.0525   |     |      |  USNOB1|19.21|      |   R|      |    |     
  20000|           |   20000| CCD|J86 |    |2005-02-10T23:33:21.600Z|105.51704  |+25.05261  |     |      |  USNOB1|19.26|      |   R|      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-03-07T03:35:47.904Z|105.209933 |+25.089264 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-10T11:37:11.424Z|108.750658 |+24.909719 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-10T12:20:06.144Z|108.750788 |+24.909792 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-30T10:16:44.256Z|108.732904 |+24.952411 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-30T10:27:31.392Z|108.732871 |+24.952447 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-30T10:47:09.888Z|108.732788 |+24.952483 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-30T10:57:57.024Z|108.732737 |+24.952536 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-30T11:08:45.888Z|108.732713 |+24.952536 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-10-31T10:59:08.736Z|108.727371 |+24.955125 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-11-30T08:56:41.280Z|108.389663 |+25.050511 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-11-30T09:07:18.048Z|108.389538 |+25.050533 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-11-30T09:27:50.976Z|108.389292 |+25.050594 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-11-30T09:30:28.224Z|108.389275 |+25.050583 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-11-30T09:39:35.136Z|108.389129 |+25.050608 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-11-30T09:50:12.768Z|108.389008 |+25.050631 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2005-11-30T10:00:50.400Z|108.388896 |+25.050642 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |  B01137| CCD|701 |    |2005-12-24T06:20:17.376Z|107.93025  |+25.13875  |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |  B01137| CCD|701 |    |2005-12-24T09:03:18.720Z|107.92775  |+25.13903  |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|809 |  0K|2005-12-26T06:29:56.947Z|107.887133 |+25.146083 |     |      |   UCAC2|19.2 |      |   R|      |    |     
  20000|           |   20000| CCD|809 |  0K|2005-12-26T07:04:40.570Z|107.8866   |+25.146206 |     |      |   UCAC2|19.1 |      |   R|      |    |     
  20000|           |   20000| CCD|809 |  0K|2005-12-26T07:39:15.466Z|107.886088 |+25.146281 |     |      |   UCAC2|18.9 |      |   R|      |    |     
  20000|           |   20000| CCD|213 |    |2006-01-22T21:42:20.160Z|107.28333  |+25.23956  |     |      |  USNOA2|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|213 |    |2006-01-22T21:47:28.608Z|107.28325  |+25.23956  |     |      |  USNOA2|19.7 |      |   R|      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-01T04:58:23.808Z|107.093971 |+25.265506 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-01T05:09:00.576Z|107.093833 |+25.265517 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-01T05:15:46.656Z|107.093725 |+25.265536 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-01T05:18:23.904Z|107.093713 |+25.265533 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-02T05:03:52.128Z|107.074517 |+25.268142 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-02T05:14:29.760Z|107.074392 |+25.268156 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-03T02:25:40.224Z|107.057475 |+25.270467 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-03T02:31:58.656Z|107.057388 |+25.270464 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-03T02:39:06.336Z|107.057275 |+25.270464 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-03T02:46:12.288Z|107.057175 |+25.270483 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-03T06:29:14.784Z|107.054242 |+25.270831 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-03T06:39:52.416Z|107.054129 |+25.270828 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-02-03T06:50:28.320Z|107.053971 |+25.27085  |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-04T02:45:10.080Z|107.038246 |+25.272994 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-04T02:52:22.944Z|107.038175 |+25.273014 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-04T02:59:29.760Z|107.038083 |+25.273    |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-04T03:06:37.440Z|107.037992 |+25.273039 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|304 |    |2006-02-04T03:15:09.792Z|107.037863 |+25.27305  |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-23T03:18:21.600Z|106.504912 |+25.336169 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-23T03:29:00.096Z|106.504908 |+25.336144 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-23T03:56:13.056Z|106.504854 |+25.336164 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-23T04:06:50.688Z|106.504804 |+25.336172 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-25T03:05:21.408Z|106.501175 |+25.336406 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-25T03:12:37.728Z|106.501162 |+25.336408 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-25T03:15:14.976Z|106.501179 |+25.336389 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-25T03:17:52.224Z|106.501171 |+25.336389 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-25T03:25:03.360Z|106.501167 |+25.336389 |     |      |   UCAC2|     |      |    |      |    |     
  20000|           |   20000| CCD|688 |  0C|2006-03-25T03:35:40.128Z|106.501171 |+25.336403 |     |      |   UCAC2|     |      |    |      |    |     
