# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes
2026 FO12  | ST26CB5| CMO|I93 |    |2026-03-24T23:14:36.758Z|204.56079  | +3.51897  |      |      |       |   Gaia2|19.4 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CMO|I93 |    |2026-03-24T23:18:26.150Z|204.56092  | +3.54167  |      |      |       |   Gaia2|18.9 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CMO|204 |  00|2026-03-24T23:23:31.700Z|204.555911 | +3.571148 |0.127 |0.126 |       |   Gaia3|     |      |    |        |      |1.24  | 396|0.08  |K    
2026 FO12  | ST26CB5| CMO|204 |  00|2026-03-24T23:34:39.000Z|204.556551 | +3.637021 |0.109 |0.106 |       |   Gaia3|     |      |    |        |      |1.39  | 402|0.08  |K    
2026 FO12  | ST26CB5| CMO|R93 |  00|2026-03-25T01:33:33.408Z|204.561    | +4.3385   |      |      |       |  Gaia3E|17.8 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CMO|R93 |  00|2026-03-25T01:43:53.760Z|204.56162  | +4.399    |      |      |       |  Gaia3E|17.9 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|807 |  0W|2026-03-25T03:17:28.900Z|204.615625 | +5.003444 |0.17  |0.17  |       |   Gaia2|18.7 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|807 |  0W|2026-03-25T03:22:32.160Z|204.616125 | +5.032972 |0.3   |0.3   |       |   Gaia2|19.9 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|807 |  0W|2026-03-25T03:27:34.560Z|204.616333 | +5.06225  |0.24  |0.24  |       |   Gaia2|19.2 |      |   G|        |      |      |    |      |     
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-25T05:21:13.308Z|204.641955 | +5.66766  |0.24  |0.221 | 0.0004|   Gaia2|19.69|0.519 |   G|   Gaia2|      |0.687 |    |0.158 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-25T05:21:35.057Z|204.641985 | +5.6698   |0.317 |0.3   | 0     |   Gaia2|19.44|0.578 |   G|   Gaia2|      |0.559 |    |0.222 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-25T05:21:56.746Z|204.64194  | +5.67183  |0.219 |0.21  | 0     |   Gaia2|19.24|0.513 |   G|   Gaia2|      |0.684 |    |0.191 |m    
2026 FO12  | ST26CB5| CCD|I52 |  01|2026-03-25T05:22:19.405Z|204.641955 | +5.67401  |0.219 |0.21  | 0     |   Gaia2|19.38|0.529 |   G|   Gaia2|      |0.729 |    |0.161 |m    
2026 FO12  | TF26CL1| CCD|U74 |    |2026-03-25T10:09:18.100Z|204.653428 | +7.300944 |0.1181|0.1181| 0     |   Gaia2|19.43|0.1   |   G|   Gaia2|      |1.35  |    |      |     
2026 FO12  | TF26CL1| CCD|U74 |    |2026-03-25T10:14:01.000Z|204.653449 | +7.327248 |0.1181|0.1181| 0     |   Gaia2|19.43|0.1   |   G|   Gaia2|      |1.35  |    |      |     
