# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA  |rmsDec |rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                              
2024 PT5   | A119q0V| CCD|J95 |    |2024-08-12T22:00:27.14Z |272.36386  | -2.57815  |0.22   |0.26   |       |   Gaia2|17.7  |0.22  |   G|   Gaia2| 7.5  |1.21  |  40|0.28  |K    |                                     
2024 PT5   | A119q0V| CCD|L04 |    |2024-08-12T22:05:49.344Z|272.20525  | -2.51589  |       |       |       |   UCAC4|17.6  |      |   V|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|126 |    |2024-08-12T22:07:11.424Z|272.26342  | -2.49367  |       |       |       |   UCAC4|17.7  |      |   V|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|L04 |    |2024-08-12T22:11:19.392Z|272.19475  | -2.48408  |       |       |       |   UCAC4|17.9  |      |   V|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|Z80 |    |2024-08-12T22:12:34.1Z  |272.33202  | -2.5086   |0.4    |0.41   |       |   Gaia2|17.6  |0.15  |   G|   Gaia2| 7.9  |0.89  | 330|0.22  |K    |                                     
2024 PT5   | A119q0V| CCD|L04 |    |2024-08-12T22:13:36.768Z|272.19054  | -2.47081  |       |       |       |   UCAC4|17.6  |      |   V|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|203 |    |2024-08-12T22:16:21.446Z|272.253    | -2.44983  |       |       |       |   Gaia2|17.7  |      |   G|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|L04 |    |2024-08-12T22:18:51.264Z|272.18083  | -2.44058  |       |       |       |   UCAC4|17.7  |      |   V|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|Z80 |    |2024-08-12T22:19:15.3Z  |272.3177   | -2.47029  |0.37   |0.39   |       |   Gaia2|17.7  |0.17  |   G|   Gaia2| 7.9  |0.83  | 330|0.22  |K    |                                     
2024 PT5   | A119q0V| CMO|204 |    |2024-08-12T22:23:31.718Z|272.24004  | -2.41058  |       |       |       |   Gaia2|      |      |    |        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|Z80 |    |2024-08-12T22:25:57.4Z  |272.30366  | -2.43158  |1.1    |1.11   |       |   Gaia2|17.7  |0.26  |   G|   Gaia2| 7.9  |0.59  | 330|0.22  |K    |                                     
2024 PT5   | A119q0V| CCD|126 |    |2024-08-12T22:26:33.504Z|272.22121  | -2.38203  |       |       |       |   UCAC4|17.7  |      |   V|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|203 |    |2024-08-12T22:27:00.288Z|272.23012  | -2.38831  |       |       |       |   Gaia2|17.8  |      |   G|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CMO|204 |    |2024-08-12T22:28:13.728Z|272.23004  | -2.38356  |       |       |       |   Gaia2|      |      |    |        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CMO|204 |    |2024-08-12T22:32:54.010Z|272.22033  | -2.35653  |       |       |       |   Gaia2|      |      |    |        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CCD|203 |    |2024-08-12T22:36:52.819Z|272.20958  | -2.33156  |       |       |       |   Gaia2|17.5  |      |   G|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CMO|204 |    |2024-08-12T22:37:33.600Z|272.21067  | -2.32972  |       |       |       |   Gaia2|      |      |    |        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CMO|204 |    |2024-08-12T22:42:11.894Z|272.20117  | -2.30303  |       |       |       |   Gaia2|17.2  |      |   G|        |      |      |    |      |K    |                                     
2024 PT5   | A119q0V| CMO|Y05 |    |2024-08-13T00:23:41.3Z  |272.257452 | -1.169233 |0.22   |0.19   |       |  ATLAS2|18.3  |0.32  |  Vj|  ATLAS2| 7.4  |1.19  |  85|0.25  |K    |                                     
2024 PT5   | A119q0V| CMO|Y05 |    |2024-08-13T00:26:09.3Z  |272.250141 | -1.155148 |0.22   |0.28   |       |  ATLAS2|19    |0.38  |  Vj|  ATLAS2| 7.4  |1.09  |  85|0.3   |K    |                                     
