# version=2017
permID|provID|trkSub|mode|stn|obsTime|ra|dec|rmsRA|rmsDec|astCat|mag|band
4179|1989 AC||UNK|888|1989-01-16T14:51:00.000Z|79.55283|22.38931|||UNK||
4179|1989 AC||UNK|413|1989-01-17T11:14:40.128Z|80.73117|22.51958|||UNK||
4179|1989 AC||UNK|413|1989-01-17T11:19:39.936Z|80.73575|22.52003|||UNK||
4179|1989 AC||UNK|413|1989-01-17T11:24:39.744Z|80.74025|22.52033|||UNK||
4179|1989 AC||UNK|046|1989-01-23T17:20:55.968Z|87.87183|23.03583|||UNK||
4179|1989 AC||UNK|046|1989-01-23T17:27:21.312Z|87.87567|23.03606|||UNK||
4179|1989 AC||UNK|385|1989-01-24T10:42:29.952Z|88.56117|23.07053|||UNK||
4179|1989 AC||UNK|385|1989-01-24T10:47:29.760Z|88.56346|23.07094|||UNK||
4179|1989 AC||UNK|385|1989-01-24T11:03:29.664Z|88.57296|23.07158|||UNK||
4179|1989 AC||UNK|046|1989-01-24T18:42:26.208Z|88.87058|23.08289|||UNK||
4179|1989 AC||UNK|046|1989-01-24T18:48:50.688Z|88.87417|23.08325|||UNK||
4179|||UNK|587|1989-01-24T19:36:00.288Z|88.90421|23.08489|||UNK||
4179|||UNK|587|1989-01-24T19:53:50.784Z|88.91575|23.08539|||UNK||
4179|1989 AC||UNK|046|1989-01-25T17:14:01.248Z|89.72262|23.11656|||UNK||
4179|1989 AC||UNK|046|1989-01-25T17:20:17.088Z|89.72604|23.11681|||UNK||
4179|1989 AC||UNK|091|1989-01-25T19:30:59.616Z|89.80375|23.12019|||UNK||
4179|1989 AC||UNK|046|1989-01-26T18:18:55.296Z|90.62783|23.14786|||UNK||
4179|1989 AC||UNK|046|1989-01-26T18:27:39.744Z|90.63296|23.14825|||UNK||
4179|1989 AC||UNK|503|1989-01-26T20:34:30.720Z|90.70554|23.15033|||UNK||
4179|1989 AC||UNK|010|1989-01-26T21:40:01.056Z|90.74208|23.15256|||UNK||
4179|1989 AC||UNK|091|1989-01-26T21:47:59.712Z|90.74617|23.15325|||UNK||
4179|1989 AC||UNK|010|1989-01-26T22:00:01.152Z|90.75321|23.15289|||UNK||
4179|1989 AC||UNK|010|1989-01-26T22:10:00.768Z|90.75921|23.15308|||UNK||
4179|1989 AC||UNK|010|1989-01-26T22:15:10.944Z|90.76142|23.15322|||UNK||
4179|1989 AC||UNK|568|1989-01-27T08:59:49.632Z|91.13487|23.16619|||UNK|14.6|V
4179|1989 AC||UNK|413|1989-01-27T11:07:41.088Z|91.21150|23.17428|||UNK||
4179|1989 AC||UNK|413|1989-01-27T11:12:40.896Z|91.21404|23.17408|||UNK||
4179|1989 AC||UNK|413|1989-01-27T11:17:40.704Z|91.21692|23.17431|||UNK||
4179|1989 AC||UNK|888|1989-01-27T12:20:00.096Z|91.25175|23.16811|||UNK|14.0|B
4179|1989 AC||UNK|888|1989-01-27T13:09:00.288Z|91.27846|23.16872|||UNK||
4179|1989 AC||UNK|046|1989-01-27T18:13:14.880Z|91.45571|23.17142|||UNK||
4179|1989 AC||UNK|046|1989-01-27T18:19:35.040Z|91.45929|23.17139|||UNK||
4179|1989 AC||UNK|091|1989-01-27T21:38:00.096Z|91.56879|23.17461|||UNK||
4179|1989 AC||UNK|413|1989-01-28T11:55:46.848Z|92.04508|23.19364|||UNK||
4179|1989 AC||UNK|413|1989-01-28T12:00:45.792Z|92.04779|23.19369|||UNK||
4179|1989 AC||UNK|046|1989-01-28T18:11:45.024Z|92.25408|23.18917|||UNK||
4179|1989 AC||UNK|046|1989-01-28T18:18:05.184Z|92.25750|23.18936|||UNK||
4179|1989 AC||UNK|888|1989-01-29T14:08:00.096Z|92.88962|23.20150|||UNK|14.5|B
4179|1989 AC||UNK|888|1989-01-29T14:50:00.384Z|92.91088|23.20167|||UNK||
4179|1989 AC||UNK|571|1989-01-29T18:45:59.616Z|93.04167|23.20242|||SAO||
4179|1989 AC||UNK|571|1989-01-29T19:09:00.288Z|93.05350|23.20267|||SAO||
4179|1989 AC||UNK|413|1989-01-30T12:20:30.336Z|93.58304|23.21689|||UNK||
4179|1989 AC||UNK|413|1989-01-30T12:25:30.144Z|93.58542|23.21703|||UNK||
4179|1989 AC||UNK|413|1989-01-30T12:30:29.952Z|93.58783|23.21697|||UNK||
4179|1989 AC||UNK|571|1989-01-30T20:59:00.384Z|93.84804|23.21125|||SAO||
4179|1989 AC||UNK|571|1989-01-30T21:54:00.000Z|93.87363|23.21119|||SAO||
4179|1989 AC||UNK|413|1989-01-31T12:05:44.736Z|94.29863|23.22194|||UNK||
4179|1989 AC||UNK|413|1989-01-31T12:10:45.408Z|94.30108|23.22189|||UNK||
4179|1989 AC||UNK|413|1989-01-31T12:15:45.216Z|94.30321|23.22194|||UNK||
4179|1989 AC||UNK|587|1989-01-31T20:24:59.616Z|94.54517|23.21558|||SAO||
4179|1989 AC||UNK|587|1989-01-31T20:50:00.384Z|94.55679|23.21586|||SAO||
4179|1989 AC||UNK|413|1989-02-01T11:27:08.352Z|94.98008|23.22358|||UNK||
4179|1989 AC||UNK|413|1989-02-01T11:31:39.648Z|94.98212|23.22344|||UNK||
4179|1989 AC||UNK|413|1989-02-01T11:35:45.024Z|94.98396|23.22347|||UNK||
4179|1989 AC||UNK|571|1989-02-01T20:37:00.192Z|95.24167|23.21511|||SAO||
4179|1989 AC||UNK|571|1989-02-01T21:38:59.712Z|95.26996|23.21539|||SAO||
4179|1989 AC||UNK|801|1989-02-02T03:35:02.976Z|95.43612|23.21522|||UNK||
4179|1989 AC||UNK|046|1989-02-02T19:19:24.096Z|95.87663|23.21239|||UNK||
4179|1989 AC||UNK|046|1989-02-02T19:25:59.808Z|95.87942|23.21231|||UNK||
4179|1989 AC||UNK|568|1989-02-03T07:03:59.616Z|96.19754|23.21267|||UNK||
4179|1989 AC||UNK|568|1989-02-03T07:20:00.384Z|96.20388|23.21225|||UNK||
4179|1989 AC||UNK|888|1989-02-03T13:00:29.664Z|96.35537|23.20967|||UNK|15.0|B
4179|1989 AC||UNK|888|1989-02-03T13:42:29.952Z|96.37317|23.20942|||UNK||
4179|1989 AC||UNK|046|1989-02-03T20:28:05.376Z|96.55692|23.20603|||UNK||
4179|1989 AC||UNK|046|1989-02-03T20:34:35.040Z|96.55979|23.20589|||UNK||
4179|1989 AC||UNK|071|1989-02-04T18:53:29.760Z|97.15037|23.19831|||UNK|14.5|B
4179|1989 AC||UNK|071|1989-02-04T20:06:19.872Z|97.18021|23.19786|||UNK||
4179|1989 AC||UNK|071|1989-02-05T17:42:14.688Z|97.73750|23.18742|||UNK||
4179|||UNK|071|1989-02-05T18:13:33.024Z|97.75154|23.18756|||UNK||
4179|||UNK|071|1989-02-05T19:00:55.584Z|97.76792|23.18703|||UNK||
4179|1989 AC||UNK|071|1989-02-05T19:10:56.064Z|97.77217|23.18683|||UNK||
4179|||UNK|071|1989-02-05T19:23:55.392Z|97.78017|23.18719|||UNK||
4179|1989 AC||UNK|071|1989-02-05T23:18:40.320Z|97.87187|23.18378|||UNK||
4179|1989 AC||UNK|071|1989-02-06T18:10:37.632Z|98.34858|23.17325|||UNK||
4179|1989 AC||UNK|071|1989-02-06T19:14:05.280Z|98.37346|23.17242|||UNK||
4179|1989 AC||UNK|801|1989-02-08T02:25:10.848Z|99.13183|23.15128|||UNK||
4179|1989 AC||UNK|474|1989-02-08T09:48:40.320Z|99.30854|23.15247|||UNK|17.1|B
4179|1989 AC||UNK|474|1989-02-08T10:02:00.384Z|99.31400|23.15211|||UNK||
4179|1989 AC||UNK|888|1989-02-11T14:19:59.808Z|101.06954|23.07583|||UNK|15.5|B
4179|1989 AC||UNK|888|1989-02-11T15:08:00.384Z|101.08671|23.07494|||UNK||
4179|1989 AC||UNK|474|1989-02-13T10:48:59.616Z|102.04758|23.03347|||UNK||
4179|1989 AC||UNK|474|1989-02-13T11:21:25.344Z|102.05971|23.03144|||UNK||
4179|1989 AC||UNK|888|1989-02-26T11:32:00.384Z|108.25329|22.54300|||UNK|16.5|B
4179|1989 AC||UNK|888|1989-02-26T12:20:00.096Z|108.26758|22.54139|||UNK||
4179|1989 AC||UNK|801|1989-03-03T02:35:44.160Z|110.27729|22.32136|||UNK||
4179|1989 AC||UNK|888|1989-03-08T11:39:59.904Z|112.56404|22.03531|||UNK|17.0|B
4179|1989 AC||UNK|888|1989-03-08T12:27:59.616Z|112.57746|22.03319|||UNK||
4179|1989 AC||UNK|801|1989-03-10T00:50:03.264Z|113.21379|21.94692|||UNK||
4179|||UNK|711|1991-04-16T08:42:05.184Z|240.20533|-20.04394|||LickGas||
4179|||UNK|688|1992-05-12T10:15:29.952Z|306.31642|-18.96889|||UNK||
4179|||UNK|688|1992-05-12T10:21:30.240Z|306.31717|-18.96869|||UNK||
4179||04179|CCD|691|1992-06-02T10:08:26.592Z|309.79729|-18.13878|||GSC1.1|19.4|V
4179||04179|CCD|691|1992-06-02T10:30:13.824Z|309.79879|-18.13856|||GSC1.1|19.6|V
4179||04179|CCD|691|1992-06-02T10:51:56.736Z|309.80029|-18.13808|||GSC1.1|19.4|V
4179|||UNK|711|1992-06-09T10:27:38.304Z|310.41037|-17.98978|||LickGas||
4179|||UNK|711|1992-06-11T08:17:46.752Z|310.51992|-17.96400|||LickGas||
4179|||CCD|801|1992-06-29T06:37:30.720Z|310.05617|-18.11553|||GSC||
4179|||CCD|801|1992-06-29T07:32:42.432Z|310.05163|-18.11689|||GSC||
4179|||CCD|413|1992-07-03T16:44:11.904Z|309.45617|-18.27647|||UNK||
4179|||CCD|413|1992-07-03T16:47:17.664Z|309.45575|-18.27656|||UNK||
4179||04179|CCD|413|1992-07-04T15:00:21.600Z|309.30392|-18.31792|||UNK||
4179||04179|CCD|413|1992-07-04T15:02:49.344Z|309.30358|-18.31800|||UNK||
4179|||UNK|711|1992-07-08T06:24:41.760Z|308.60821|-18.50583|||LickGas||
4179|||UNK|711|1992-07-09T07:13:23.808Z|308.38188|-18.56503|||LickGas||
4179|||UNK|809|1992-07-21T03:16:30.144Z|304.89042|-19.43564|||GSC||
4179|||UNK|809|1992-07-21T03:29:30.336Z|304.88717|-19.43647|||GSC||
4179|||UNK|809|1992-07-21T03:42:29.664Z|304.88387|-19.43725|||GSC||
4179|||UNK|809|1992-07-22T01:21:30.240Z|304.55050|-19.51694|||GSC||
4179|||UNK|809|1992-07-22T01:34:30.432Z|304.54704|-19.51772|||GSC||
4179|||UNK|809|1992-07-22T01:47:29.760Z|304.54371|-19.51850|||GSC||
4179|||UNK|809|1992-07-22T07:43:00.192Z|304.44525|-19.54072|||GSC||
4179|||UNK|809|1992-07-22T08:08:59.712Z|304.43858|-19.54231|||GSC||
4179|||UNK|809|1992-07-22T08:34:59.232Z|304.43196|-19.54392|||GSC||
4179|||CCD|801|1992-07-26T04:41:37.248Z|302.89671|-19.90503|||GSC||
4179|||CCD|801|1992-07-26T04:54:51.264Z|302.89275|-19.90594|||GSC||
4179|||UNK|675|1992-07-26T08:05:00.384Z|302.83721|-19.91861|||UNK|15.0|B
4179|||UNK|675|1992-07-26T09:09:44.928Z|302.81704|-19.92297|||UNK||
4179|||UNK|010|1992-07-26T23:25:28.992Z|302.56404|-19.98097|||UNK||
4179|||UNK|010|1992-07-26T23:51:29.376Z|302.55683|-19.98258|||UNK||
4179|||UNK|010|1992-07-27T00:06:28.800Z|302.55208|-19.98311|||UNK||
4179|||UNK|809|1992-07-28T02:05:30.624Z|302.08450|-20.08450|||GSC||
4179|||UNK|809|1992-07-28T02:20:30.048Z|302.08021|-20.08544|||GSC||
4179|||UNK|809|1992-07-28T02:35:30.336Z|302.07583|-20.08644|||GSC||
4179|||CCD|801|1992-07-28T04:57:20.736Z|302.02933|-20.10042|||GSC||
4179|||CCD|801|1992-07-28T05:12:57.312Z|302.02429|-20.10150|||GSC||
4179|||UNK|711|1992-07-29T06:10:11.712Z|301.56167|-20.20356|||LickGas||
4179|||UNK|711|1992-07-30T05:36:28.224Z|301.11792|-20.30061|||LickGas||
4179|||UNK|711|1992-07-31T05:12:45.216Z|300.66254|-20.39903|||LickGas||
4179|||UNK|323|1992-08-21T12:35:00.384Z|289.99292|-22.35625|||UNK||
4179|||UNK|095|1992-08-26T19:45:00.288Z|287.57458|-22.72217|||UNK||
4179|||UNK|095|1992-08-26T19:45:03.744Z|287.57467|-22.72236|||UNK||
4179|||UNK|095|1992-08-27T19:14:50.208Z|287.15987|-22.78144|||UNK||
4179|||UNK|095|1992-08-27T19:34:50.304Z|287.15346|-22.78256|||UNK||
4179|||UNK|323|1992-08-28T12:44:00.384Z|286.85888|-22.81908|||UNK||
4179|||UNK|095|1992-08-28T19:00:00.288Z|286.75162|-22.83967|||UNK||
4179|||UNK|095|1992-08-28T19:20:00.384Z|286.74542|-22.84058|||UNK||
4179|||UNK|675|1992-08-29T04:35:44.736Z|286.58975|-22.86247|||UNK|15.0|B
4179|||UNK|675|1992-08-29T05:09:29.952Z|286.57925|-22.86317|||UNK||
4179|||UNK|095|1992-08-29T18:37:29.856Z|286.35750|-22.89483|||UNK||
4179|||UNK|095|1992-08-29T18:57:29.952Z|286.35204|-22.89564|||UNK||
4179|||UNK|675|1992-09-01T03:40:30.432Z|285.45796|-23.01897|||UNK||
4179|||UNK|675|1992-09-01T04:12:59.616Z|285.44912|-23.02022|||UNK||
4179|||CCD|801|1992-09-23T23:49:18.912Z|281.05217|-23.73931|||GSC||
4179|||CCD|801|1992-09-24T00:31:51.168Z|281.05058|-23.73981|||GSC||
4179|||CCD|801|1992-10-01T23:42:45.792Z|281.29200|-23.86442|||GSC||
4179|||CCD|801|1992-10-02T00:13:50.304Z|281.29321|-23.86428|||GSC||
4179|||UNK|711|1992-10-17T01:35:01.536Z|283.52146|-24.02606|||ACRS||
4179|||UNK|711|1992-10-18T01:27:13.248Z|283.71908|-24.03644|||ACRS||
4179|||UNK|906|1992-12-08T17:23:02.976Z|192.27483|-20.50500|||UNK||
4179|||CCD|411|1992-12-08T19:02:17.664Z|191.27025|-20.16108|||GSC||
4179|||UNK|894|1992-12-08T19:05:30.336Z|191.23971|-20.14603|||GSCACT|12.0|B
4179|||UNK|894|1992-12-08T19:07:59.808Z|191.21412|-20.13428|||GSCACT||
4179|||UNK|897|1992-12-08T19:10:24.960Z|191.18954|-20.12489|||AGK3|12|B
4179|||CCD|411|1992-12-08T19:12:42.336Z|191.16404|-20.11331|||GSC||
4179|||CCD|411|1992-12-08T19:13:47.136Z|191.15287|-20.10817|||GSC||
4179|||UNK|897|1992-12-08T19:30:35.424Z|190.98388|-20.03228|||AGK3||
4179|||UNK|897|1992-12-08T19:32:59.712Z|190.95742|-20.02056|||AGK3||
4179|||UNK|897|1992-12-08T19:34:59.808Z|190.93733|-20.01139|||AGK3||
4179|||CCD|871|1992-12-08T20:27:21.312Z|190.41388|-19.76750|||GSCACT||
4179|||CCD|900|1992-12-08T20:29:13.632Z|190.39133|-19.75886|||GSC||
4179|||CCD|871|1992-12-08T20:29:36.960Z|190.39050|-19.75700|||GSCACT||
4179|||CCD|900|1992-12-08T20:30:40.032Z|190.37679|-19.75167|||GSC||
4179|||CCD|900|1992-12-08T20:31:18.912Z|190.37025|-19.74936|||GSC||
4179|||UNK|906|1992-12-10T17:15:19.008Z|168.79812|-7.58453|||UNK||
4179|||UNK|906|1992-12-10T17:25:59.232Z|168.72750|-7.54317|||UNK||
4179|||UNK|906|1992-12-10T17:29:22.272Z|168.70642|-7.52986|||UNK||
4179|||UNK|323|1992-12-10T19:36:00.288Z|167.91983|-7.04531|||UNK||
4179|||CCD|413|1992-12-11T15:23:22.272Z|161.41833|-2.90156|||UNK||
4179|||CCD|413|1992-12-11T15:25:39.648Z|161.40658|-2.89422|||UNK||
4179|||CCD|413|1992-12-11T15:28:08.256Z|161.39421|-2.88647|||UNK||
4179|||CCD|413|1992-12-11T15:30:22.176Z|161.38304|-2.87947|||UNK||
4179|||CCD|413|1992-12-11T15:34:11.136Z|161.36375|-2.86747|||UNK||
4179|||CCD|413|1992-12-11T15:37:45.408Z|161.34588|-2.85636|||UNK||
4179|||CCD|900|1992-12-11T18:20:53.664Z|160.53746|-2.43214|||GSC||
4179|||CCD|900|1992-12-11T18:24:35.712Z|160.51912|-2.42100|||GSC||
4179|||CCD|411|1992-12-11T19:21:35.424Z|160.23296|-2.24903|||GSC||
4179|||CCD|411|1992-12-11T19:23:14.784Z|160.22471|-2.24408|||GSC||
4179|||CCD|411|1992-12-11T19:25:34.752Z|160.21317|-2.23697|||GSC||
4179|||CCD|411|1992-12-11T19:28:44.832Z|160.19771|-2.22744|||GSC||
4179|||UNK|897|1992-12-13T18:55:40.224Z|149.80542|4.48878|||AGK3|10|B
4179|||UNK|897|1992-12-13T18:58:00.192Z|149.79862|4.49297|||AGK3||
4179|||UNK|897|1992-12-13T18:59:44.736Z|149.79288|4.49628|||AGK3||
4179|||UNK|897|1992-12-13T19:20:09.888Z|149.73150|4.53300|||AGK3||
4179||4179|UNK|104|1992-12-16T22:32:30.336Z|140.51392|10.26581|||GSC||
4179||4179|UNK|104|1992-12-16T22:38:29.760Z|140.50479|10.27106|||GSC||
4179||4179|UNK|104|1992-12-16T22:59:30.336Z|140.47108|10.29039|||GSC||
4179||4179|UNK|104|1992-12-16T23:07:29.856Z|140.45888|10.29764|||GSC||
4179||4179|UNK|104|1992-12-16T23:16:00.480Z|140.44579|10.30519|||GSC||
4179||4179|UNK|104|1992-12-16T23:22:30.144Z|140.43558|10.31086|||GSC||
4179||4179|UNK|104|1992-12-17T22:23:30.336Z|138.54862|11.42425|||GSC||
4179||4179|UNK|104|1992-12-17T22:27:59.904Z|138.54300|11.42758|||GSC||
4179||4179|UNK|104|1992-12-17T22:32:30.336Z|138.53746|11.43117|||GSC||
4179|||UNK|084|1992-12-18T04:23:21.610Z|138.065879|11.678297|||UNK||
4179|||UNK|084|1992-12-18T04:45:47.981Z|138.039308|11.692733|||UNK||
4179|||CCD|410|1992-12-18T14:57:48.672Z|137.35625|12.11944|||GSC|10.8|V
4179|||CCD|410|1992-12-18T15:19:11.712Z|137.32971|12.13397|||GSC||
4179|||CCD|871|1992-12-18T15:25:05.952Z|137.32275|12.13811|||GSCACT||
